fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,xcoord,ycoord
"4750",1KME6961N10363,1KME6961N10363,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"82","88","170","47",1001828.3236084,4003.99017277364,-35.9564562744374,-8.19663680275448
"4751",1KME6961N10364,1KME6961N10364,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001829.37939453,4003.99173244647,-35.9570487335702,-8.18772876802066
"4752",1KME6961N10365,1KME6961N10365,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"8","10","18","5",1001830.6105957,4003.99363938368,-35.9576411540273,-8.17882063423767
"4753",1KME6961N10366,1KME6961N10366,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"2","1","3","1",1001831.76306152,4003.99539070776,-35.9582335355839,-8.16991240082584
"4754",1KME6961N10367,1KME6961N10367,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"1","0","1","1",1001832.9432373,4003.9971969584,-35.9588258782545,-8.16100406796676
"4755",1KME6961N10368,1KME6961N10368,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"1","0","1","1",1001834.20019531,4003.9991525044,-35.9594181822301,-8.15209563530356
"4756",1KME6961N10369,1KME6961N10369,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001835.27966309,4004.0007538063,-35.9600104470328,-8.14318710211083
"4757",1KME6961N10370,1KME6961N10370,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001836.43969727,4004.00251622125,-35.9606026731598,-8.13427846896963
"4758",1KME6961N10371,1KME6961N10371,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"20","20","40","11",1001837.66772461,4004.00441417074,-35.9611948603242,-8.12536973524737
"4759",1KME6961N10372,1KME6961N10372,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"54","46","100","27",1001838.87695313,4004.00627522478,-35.9617870087985,-8.11646090094542
"4760",1KME6961N10373,1KME6961N10373,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"27","23","50","11",1001840.0111084,4004.00798072559,-35.9623791185254,-8.10755196568494
"4761",1KME6961N10374,1KME6961N10374,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"7","6","13","3",967262.505126953,3854.36337312641,-35.9631039134839,-8.09877608827954
"4762",1KME6961N10375,1KME6961N10375,5KME6960N10375,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"25","26","51","10",399044.317260742,2954.91174304539,-35.9655260538445,-8.09144282138089
"4763",1KME6962N10350,1KME6962N10350,5KME6960N10350,10KME6960N10350,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",308010.719848633,2720.06271590881,-35.9425308378013,-8.31291645424041
"4764",1KME6962N10360,1KME6962N10360,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"14","14","28","9",1001808.49230957,4003.95216525383,-35.9455044243224,-8.2227847899189
"4765",1KME6962N10361,1KME6962N10361,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"4","4","8","3",1001809.66357422,4003.95395744614,-35.9460972997599,-8.21387706464331
"4766",1KME6962N10362,1KME6962N10362,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001810.81115723,4003.95569965092,-35.9466901360625,-8.20496924071035
"4767",1KME6962N10363,1KME6962N10363,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"12","9","21","5",1001812.03979492,4003.9576029636,-35.947282933728,-8.19606131743957
"4768",1KME6962N10364,1KME6962N10364,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"14","9","23","7",1001813.18994141,4003.95935065916,-35.9478756926074,-8.18715329529758
"4769",1KME6962N10365,1KME6962N10365,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"4","2","6","2",1001814.26293945,4003.96094276562,-35.9484684126202,-8.17824517401364
"4770",1KME6962N10366,1KME6962N10366,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"8","5","13","5",1001815.50964355,4003.96288150511,-35.9490610935124,-8.16933695335461
"4771",1KME6962N10367,1KME6962N10367,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001816.6854248,4003.9646778003,-35.94965373548,-8.16042863308737
"4772",1KME6962N10368,1KME6962N10368,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"4","3","7","2",1001817.83642578,4003.96642406904,-35.9502463388153,-8.15152021270667
"4773",1KME6962N10369,1KME6962N10369,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"2","0","2","1",1001819.10913086,4003.96841143461,-35.9508389032261,-8.14261169226811
"4774",1KME6962N10370,1KME6962N10370,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"6","3","9","2",1001820.21044922,4003.97005767442,-35.9514314287507,-8.13370307148297
"4775",1KME6962N10371,1KME6962N10371,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"12","9","21","5",1001431.98339844,3989.53758038218,-35.9520255652339,-8.12479614335559
"4776",1KME6962N10372,1KME6962N10372,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"29","33","62","17",781161.187011719,3662.34892260885,-35.9535259090604,-8.11631728682596
"4777",1KME6962N10373,1KME6962N10373,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"7","6","13","3",475562.661254883,2958.0529083974,-35.9555188467844,-8.10757748579651
"4778",1KME6962N10374,1KME6962N10374,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"5","4","9","2",109058.311767578,1703.77477719249,-35.957237190206,-8.10074283162953
"4779",1KME6963N10361,1KME6963N10361,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"25","20","45","14",1001793.29309082,4003.92121254549,-35.936923398677,-8.21330126177758
